presenter
"('goldenglobes just', 'best ""')"
('why did they', 'best drama')
(' i think paul rudd pronounced breaking bad wrong when he', 'best tv')
(' i think paul rudd pronounced breaking bad wrong when he', 'best tv')
(' i think paul rudd pronounced breaking bad wrong when he', 'best tv')
('so far adele', 'best speech')
('s', 'best animated')
('all shoulda seen the standing ovation bill clinton got when he', 'best picture')
(' anne hathaway', 'best performance')
('who', 'best foreign')
('re', 'best foreign')
(' they chose', 'best foreign')
('s accent is more incoherent when', 'best foreign')
('two guys who can barely speak english are', 'best foreign')
('arnold and sylvester', 'best foreign')
('stallone and schwarzenegger', 'best foreign')
('jlo', 'best original')
('s voice when he', 'best screenplay')
('jlo', 'best original')
('sacha baron cohen stumbles on stage', 'best animated')
('claire danes', 'best speech')
(' jodie foster just', 'best golden')
('jodie foster just', 'best shout')
('goldenglobes', 'best director')
(' ben affleck really', 'best direction')
('jay leno and jimmy fallon', 'best tv')
('white women', 'best in')
('award shows really do', 'best in')
('bradleycooper', 'best performance')
('bradleycooper', 'best performance')
('bradleycooper', 'best performance')
('did they', 'best actress')
('dustin hoffman', 'best motion')
(' christian bale aka batman just', 'best actor')
('juliaroberts', 'best motion')
('juliaroberts', 'best picture')
('juliaroberts', 'best motion')
